4	0.002000	0.000000
5	0.000029	0.000000
6	0.007701	0.005373
7	0.000422	0.010433
8	0.008914	0.015813
9	0.000987	0.021170
4	0.014119	0.026251
5	0.003209	0.042621
6	0.029862	0.047974
7	0.009871	0.053310
8	0.019445	0.058375
9	0.005884	0.063711
4	0.025382	0.068764
5	0.009778	0.085346
6	0.051918	0.090411
7	0.023451	0.095768
8	0.029511	0.100776
9	0.014911	0.106124
4	0.034652	0.111465
5	0.018978	0.127807
6	0.067697	0.133144
7	0.041106	0.138493
8	0.038493	0.143533
9	0.023818	0.148881
4	0.040717	0.153910
5	0.028958	0.170573
6	0.077877	0.175601
7	0.064046	0.180957
8	0.043097	0.186026
9	0.035191	0.191355
4	0.044804	0.196387
5	0.042973	0.212809
6	0.083435	0.218186
7	0.089464	0.223275
8	0.045195	0.228659
9	0.049682	0.234031
4	0.045335	0.239108
5	0.055270	0.255570
6	0.084364	0.260659
7	0.111883	0.266039
8	0.045762	0.271427
9	0.062733	0.276476
4	0.044513	0.281848
5	0.067439	0.298295
6	0.081537	0.303363
7	0.134993	0.308711
8	0.043235	0.313755
9	0.073481	0.319100
4	0.041442	0.324112
5	0.079634	0.340724
6	0.076313	0.346060
7	0.160458	0.351121
8	0.039668	0.356469
9	0.085356	0.361500
4	0.037253	0.366870
5	0.092368	0.383288
6	0.065689	0.388633
7	0.183182	0.393701
8	0.033689	0.399029
9	0.098639	0.404342
4	0.029085	0.409338
5	0.102778	0.425849
6	0.050471	0.431145
7	0.202930	0.436470
8	0.027103	0.441462
9	0.108733	0.446778
4	0.021546	0.452075
5	0.112126	0.468382
6	0.036066	0.473694
7	0.218940	0.479014
8	0.017371	0.484035
9	0.116789	0.489367
4	0.012906	0.494668
5	0.120828	0.511179
6	0.020490	0.516220
7	0.238662	0.521513
8	0.008576	0.526837
9	0.125029	0.531829
4	0.003521	0.537149
5	0.129361	0.553715
6	0.000868	0.558755
7	0.251911	0.564080
8	-0.001667	0.569121
9	0.133584	0.574470
4	-0.009358	0.579770
5	0.135729	0.596277
6	-0.022404	0.601290
7	0.263608	0.606630
8	-0.012379	0.611942
9	0.139592	0.616959
4	-0.020180	0.622312
5	0.140832	0.638667
6	-0.043406	0.643979
7	0.272729	0.649323
8	-0.025265	0.654335
9	0.143321	0.659640
4	-0.031369	0.664916
5	0.145381	0.681416
6	-0.063229	0.686725
7	0.282025	0.691753
8	-0.036364	0.697061
9	0.147121	0.702370
4	-0.042946	0.707386
5	0.148783	0.723905
6	-0.088701	0.729257
7	0.286477	0.734313
8	-0.048349	0.739618
9	0.150476	0.744915
4	-0.057764	0.750215
5	0.150871	0.766762
6	-0.114243	0.771774
7	0.290673	0.777063
8	-0.061572	0.782383
9	0.151820	0.787391
4	-0.069828	0.792719
5	0.151415	0.809298
6	-0.136783	0.814323
7	0.290413	0.819644
8	-0.074623	0.824660
9	0.151854	0.829984
4	-0.081925	0.835304
5	0.151207	0.851900
6	-0.158417	0.856896
7	0.290635	0.862209
8	-0.086586	0.867529
9	0.151560	0.872569
4	-0.094297	0.877902
5	0.150585	0.894489
6	-0.184996	0.899473
7	0.288448	0.904738
8	-0.098684	0.910023
9	0.149851	0.915303
4	-0.108876	0.920583
5	0.148792	0.936995
6	-0.209231	0.942263
7	0.284650	0.947560
8	-0.112212	0.952528
9	0.147474	0.957805
4	-0.120318	0.963081
5	0.145342	0.979500
6	-0.231144	0.984765
7	0.276682	0.990029
8	-0.124602	0.995309
